Headline: The rise and retreat of Lightrock,,,,,
Strap: Lightrock was active during the ZIRP era before going quiet,,,,,
,,,,,
Company,Invested In,Total Funding (USD),Latest Valuation (USD),Sector,Lightrock's investment
Aye Finance,2017,"$16,44,26,190","$40,44,90,162",Finance,
Ummeed Housing Finance,2018,"$15,00,00,000","$28,19,19,323",Finance,
Arya.ag,2019,"$16,84,25,936","$30,97,19,478",Agri,
EM3 Agri Services,2019,"$2,34,51,872","$3,67,63,245",Agri,
Dunzo,2019,"$45,21,86,038","$77,54,49,704",Logistics,
Kauvery Hospitals,2019,Not disclosed,Not disclosed,Healthcare,$10 million
NeoGrowth,2019,"$14,73,08,209","$11,93,22,462",Finance,
PharmEasy,2019,"$68,84,09,700","$45,60,00,000",Healthcare,$50 million
Waycool,2019,"$38,82,29,262","$74,50,92,199",Agri,$95 million
Aknamed,2020,"$2,18,48,799","$4,20,00,000",Healthcare,
Ampin Energy,2020,"$44,82,81,553","$50,73,27,641",Energy,
Vivriti Capital,2020,"$20,52,02,242","$1,70,15,20,497",Finance,$80 milion
Porter,2020,"$19,78,60,832","$1,15,28,44,970",Logistics,$25 milion
Olyv,2020,"$4,95,33,659","$10,71,31,757",Finance,
Cuemath,2020,"$12,64,99,043","$38,08,41,944",Education,
Scaler,2021,"$7,65,00,000","$71,00,00,000",Education,
Shiprocket,2021,"$32,15,71,900","$1,15,17,83,470",Logistics,$45 million
Yubi,2021,"$24,08,63,740","$1,19,93,37,847",Finance,
MediBuddy,2021,"$19,31,20,879","$39,65,69,111",Healthcare,
Navya Technology,2021,"$3,84,67,610","$22,20,00,000",Healthcare,
Eupheus Learning,2021,"$2,72,02,635","$7,21,76,061",Education,
Axio Global,2021,"$3,00,00,000",Not disclosed,Finance,
Bugworks Research,2021,"$4,28,87,356",Not disclosed,Healthcare,
Chalo,2021,"$11,74,43,344","$29,00,00,000",Logistics,
DeHaat,2021,"$22,20,35,532","$68,84,75,581",Agri,
Sukoon,2022,"$1,50,00,000","$2,12,22,682",Healthcare,
EdgeGrid,2022,"$60,00,000","$1,66,84,710",Energy,
BeatO,2022,"$5,08,25,302","$9,39,44,775",Healthcare,
Even,2022,"$7,24,77,727","$15,28,26,795",Healthcare,
Niyo,2022,"$17,93,50,000","$13,64,00,000",Finance,
SolarSquare,2024,"$6,11,14,176","$21,55,91,342",Energy,
ATEC Global,2025,"$2,07,50,000",Not disclosed,Climate,
,,,,,
,,,,,
"Source: The Ken research, Tracxn, Lightrock",,,,,
