Rs Crore,,,,,,,,,,
Sl. No.,NBFC (Regulated Entity),Loan Websites,FY24 Revenue,FY25 Revenue,Increase,Growth as multiple ,FY24 Profit,FY25 Profit,Increase,YoE
1,Agrim Fincap,"Rupyalelo, Speedo loan",0.2,2.7,1245%,13,0.0193,0.4,2228%,1995
2,Ava Finance ,Kamakshi Money,0.2,3.5,2084%,22,0.03,0.4,1233%,1995
3,Junoon Capital,"Paisa Udhar, Insta Paise",2.9,11.5,297%,4,0.1227,0.7,460%,1996
4,Niskha Finvest ,CashPe,2.5,4.7,88%,2,0.276,0.5,85%,1994
5,Achiievers Finance India,Jhatpat loan,14.7,25.4,72%,2,1.53,3.0,94%,1996
6,SURYA SHAKTI VYAPAAR,"Easyrupeeloan, ClapCredit",1.0,4.6,358%,5,0.003,0.0,900%,1995
7,AGF Finlease,"Cashkredit, Loanforcare, Next big loan, Wepay Loan",5.0,22.6,356%,5,0.13573,0.4,221%,1996
8,Aman Fincap,"Duniya Finance, Squidloan, Paisa on salary, Tejas loan, LoanZap",1.2,0.8,-30%,1,0.0636,0.0,-77%,1996
9,Ampire Finance,"F1 Speed loan, FastPaise, SnapPaisa, Salaryadda, Salarysetu",0.4,2.2,477%,6,0.05,0.3,562%,1981
10,Acolyte Finance,"Borrwera, Credxpress",0.2,11.3,7416%,75,-0.048,1.0,2267%,1988
11,Ayaan Finserve ,Dhanvriddhi,3.5,7.9,127%,2,0.6113,0.6,5%,1982
12,Comero Leasing & Financials ,Xpressloan,1.1,6.4,478%,6,0.3515,0.4,7%,1992
13,Naman Finlease ,"Qua loan, Zeptofinance",1.6,6.0,281%,4,0.295,0.3,-12%,1997
14,Dev-Aashish Capital ,Rupee112,0.0,80.9,475782%,4759,0.0006,2.7,441567%,1995
15,Devmuni Leasing & Finance,Bharatloan,32.9,74.7,127%,2,0.62,3.2,416%,1995
16,Digner Finlease & Investment ,"Creditpey, Kreditsure",0.1,2.4,2036%,21,0.07,-0.1,-229%,1995
17,Everlight Holding ,Everpay,0.1,0.2,72%,2,0.04,0.1,210%,1989
18,Girdhar Finlease ,30 Days loan,8.0,14.2,79%,2,0.85,1.1,25%,1983
19,Goodskill Securities And Services,"Every Day Loan, Lonepey",36.8,47.9,30%,1,1.11,1.4,23%,1990
20,Kasar Credit & Capital,Salary on time,0.0,33.3,332500%,3326,0.001,0.6,55700%,1995
21,Loan2Grow Fincap,Jhatpat cash,0.4,0.4,7%,1,0.073,0.0,-38%,2020
22,Tycoon Credit & Portfolio,Loan Hub,0.7,16.2,2359%,25,0.26,0.6,123%,1992
23,Solomon Capital,"Bharat loan, Rupee112",0.2,104.9,47591%,477,-0.16,2.9,1894%,2014
24,Woodland Securities ,Creditwalle,0.4,7.3,1593%,17,0.08,0.5,485%,1992
25,R.K. Bansal Finance ,Ramfincorp,19.1,528.0,2664%,28,4.86,54.4,1019%,1984
Total,Median,,,,357.71%,4.6,,,220.64%,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,140352690,2998203,0.02136192046,,,,,
